gbpusd	hangseng	jpm	ms	nasdaq	nikkei	nya	sp500	usdeur	usdjpy	vix
1.6405		110.62	58.75						132.32	
1.638		112.44	60.88						133.88	
1.6327		107.19	60.0						133.53	
1.6242		108.38	58.5						132.07	
1.6155		104.19	58.94						132.55	
1.6147		101.87	56.0						131.38	
1.6183		102.62	55.0						133.07	
1.6322		103.63	55.94						131.83	
1.631		104.38	56.56						131.55	
1.6292		103.25	55.44						130.42	
1.6365		105.5	56.19						128.93	
1.6363									128.79	
1.6283		107.19	58.19						128.88	
1.628		105.13	58.19						127.75	
1.6482		104.25	54.94						127.42	
1.6662		103.25	54.06						126.05	
1.6588		102.13	54.19						126.2	
1.6481		105.25	55.19						125.87	
1.6421		106.0	57.44						125.12	
1.6383		106.81	58.25						125.2	
1.635		107.19	58.38						126.92	
1.636		111.19	61.62						126.67	
1.6423		114.25	61.31						126.2	
1.6533		114.5	61.25						124.05	
1.655		114.56	60.81						123.25	
1.6505		116.94	61.31						123.57	
1.634		121.0	61.19						124.36	
1.6243		119.87	62.0						123.36	
1.6324		119.81	61.44						123.6	
1.6384		119.38	63.94						123.62	
1.6365		118.19	64.0						125.4	
1.6375									126.03	
1.6327		120.75	64.88						126.53	
1.6413		121.81	66.75						126.43	
1.6348		119.62	67.5						126.41	
1.6361		119.81	68.62						127.53	
1.6433		121.19	68.94						127.85	
1.6477		119.75	69.38						127.78	
1.6469		122.38	70.5						128.54	
1.646		123.75	70.25						128.13	
1.6457		124.06	69.81						126.33	
1.6479		123.75	69.94						125.47	
1.6528		125.31	69.81						125.93	
1.6472		122.44	69.81						126.48	
1.6427		120.5	69.75						127.67	
1.6372		121.63	70.94						127.84	
1.6365		118.56	71.75						127.74	
1.639		121.56	74.19						127.71	
1.6439		124.69	73.88						129.35	
1.6567		125.25	74.06						129.6	
1.6705		125.25	74.75						128.27	
1.6655		128.31	75.5						129.65	
1.6708		134.75	76.69						129.22	
1.6715		138.13	77.38						130.2	
1.6677		135.25	77.0						130.38	
1.6648		134.62	75.44						130.44	
1.6768		132.69	74.75						130.32	
1.675		134.19	76.69						130.35	
1.6763		133.0	75.69						128.86	
1.6857		134.19	73.12						128.82	
1.6827		134.12	74.0						130.32	
1.6776		133.75	73.0						132.15	
1.6745		134.87	72.88						133.28	
1.6748		136.0	72.88						133.18	
1.6692		139.31	73.88						133.46	
1.6603		140.12	75.44						134.7	
1.6608		147.0	80.0						134.73	
1.6678		143.62	80.38						133.71	
1.6681		140.25	81.06						132.65	
1.6743		141.62	82.31						130.07	
		146.38	84.44							
1.6848		142.75	82.81						129.46	
1.6852		140.06	82.0						129.31	
1.6926		135.25	80.75						131.71	
1.6852		137.25	83.31						131.53	
1.678		134.69	81.62						132.21	
1.6753		139.12	79.62						131.36	
1.675		140.12	80.69						130.68	
1.665		136.5	79.31						130.01	
1.6673		134.06	78.19						131.15	
1.6698		132.62	75.19						132.25	
1.6685		133.63	74.25						132.28	
1.6708		135.13	76.69						131.94	
1.6726		138.56	78.88						132.14	
1.6655		140.87	79.0						133.07	
		139.06	78.75							
1.659		137.0	77.5						131.72	
1.6618		135.06	75.31						132.76	
1.646		136.25	74.25						133.08	
1.6365		136.88	75.62						132.6	
1.6304		138.56	75.0						132.74	
1.6341		140.5	75.5						133.8	
1.6338		139.5	74.69						134.03	
1.6308		139.31	75.25						134.1	
1.6293		142.0	76.69						134.08	
1.621		142.25	74.62						136.1	
1.6243		144.88	76.25						136.25	
1.6315		144.19	78.88						136.06	
1.6322		143.75	79.75						135.46	
1.6329		144.44	79.19						135.66	
1.6356		139.31	77.75						137.9	
1.6307		136.06	76.25						137.6	
1.6283		136.44	77.75						138.5	
1.6315		135.94	78.06						138.53	
1.6373		134.06	78.94						139.62	
1.6376		136.94	78.56						138.87	
1.638		135.62	78.56						138.28	
1.6428		137.5	79.81						138.23	
1.6362		140.25	80.75						139.58	
1.6327		143.31	82.19						140.37	
1.6361		141.56	81.88						140.37	
1.6285		142.0	80.62						141.21	
1.6302		140.06	79.81						142.57	
1.631		138.88	79.06						144.18	
1.6351		68.19	75.38						146.35	
1.6528		67.75	75.81						144.22	
1.6587		69.63	78.94						138.25	
1.6739		69.44	78.75						137.45	
1.6749		70.38	78.81						134.05	
1.6727		69.31	79.88						138.08	
1.6653		70.19	82.56						139.05	
1.6672		73.12	86.62						140.62	
1.669		72.38	87.75						141.4	
1.6633		73.25	87.44						142.73	
1.6652		75.63	86.38						141.62	
1.6673		75.5	91.38						138.8	
1.6593		75.5	90.12						138.77	
1.658		75.44	90.19						141.14	
1.6474									139.38	
1.6468		77.0	89.62						139.97	
1.6397		75.0	90.56						138.3	
1.6375		73.62	92.06						139.72	
1.6303		73.62	90.69						141.28	
1.6322		74.5	92.38						140.98	
1.6421		74.37	93.88						140.88	
1.6373		75.5	94.5						139.68	
1.6325		75.19	94.5						140.47	
1.6378		75.0	95.19						139.82	
1.6404		74.94	96.88						139.6	
1.6489		75.0	95.81						139.0	
1.647		71.5	94.62						140.1	
1.6407		72.94	92.81						141.01	
1.6428		73.12	91.56						141.31	
1.6587		73.62	90.25						140.83	
1.6556		73.75	89.19						142.22	
1.651		73.38	87.56						141.75	
1.6423		72.56	87.62						142.58	
1.6403		74.62	88.5						142.78	
1.6355		75.63	87.06						144.5	
1.6249		74.81	84.88						145.72	
1.6331		69.63	80.94						145.05	
1.6364		71.37	82.44						144.23	
1.6325		71.5	84.69						144.6	
1.6326		69.19	85.12						145.84	
1.6321		68.5	81.69						146.5	
1.6325		65.75	81.06						147.15	
1.6294		66.19	80.25						146.03	
1.6261		64.12	78.81						145.2	
1.6222		64.38	76.88						145.5	
1.6162		66.5	81.25						145.84	
1.6163		69.19	84.31						145.13	
1.6212		67.88	82.81						143.92	
1.6265		65.37	80.12						142.2	
1.6329		63.69	76.88						144.43	
1.6396		64.06	77.75						143.82	
1.6388		64.12	78.75						144.73	
1.6362		64.25	76.06						144.67	
1.6463		58.12	69.56						142.7	
1.6632		56.5	65.25						143.25	
		52.5	58.06							
1.6772		54.87	57.62						136.42	
1.6696		54.87	59.0						137.85	
1.6814		49.25	53.62						134.57	
1.6736		45.38	50.25						134.33	
1.6685									131.68	
1.657		47.13	54.62						132.55	
1.6632		44.62	50.06						137.05	
1.6817		42.75	48.31						134.11	
1.6841		46.0	51.0						131.06	
1.6765		46.25	53.12						133.1	
1.6735		49.12	56.31						132.8	
1.676		49.94	60.56						134.9	
1.6867		47.88	55.81						132.2	
1.684		47.44	54.56						132.86	
1.6843		46.81	53.88						133.42	
1.6832		46.12	53.5						135.25	
1.6824		50.13	57.25						136.33	
1.6924		46.38	51.56						135.72	
1.7025		45.5	52.62						135.37	
1.7044		44.56	49.25						136.36	
1.7067		45.0	45.12						134.02	
1.6997		43.12	43.12						136.18	
1.7018		40.72	40.0						135.58	
1.7085		43.75	43.88						134.74	
1.6906		41.5	40.81						134.43	
1.6857		41.06	41.69						132.0	
1.6965		40.25	38.44						123.55	
1.7192		40.5	41.62						119.0	
1.7128		42.81	45.75						117.25	
1.6935		43.06	46.19						118.24	
1.7024		42.69	46.81						119.58	
1.7051		41.69	48.56						118.87	
1.7046		47.0	55.25						117.35	
1.7018		49.09	54.25						115.9	
1.699		51.25	56.69						114.63	
1.7049		53.06	56.12						117.75	
1.6984		54.0	55.44						117.4	
1.6972		56.06	58.56						117.75	
1.6927		55.69	58.5						118.18	
1.6865		54.5	59.56						118.62	
1.6683		52.0	58.06						118.45	
1.6713		52.38	59.5						117.98	
1.6784		54.12	62.81						116.72	
1.6752		56.81	65.0						116.63	
1.6678		56.5	64.0						114.87	
1.6567		56.25	61.81						115.31	
1.6557		58.0	62.44						116.7	
1.6623		60.38	65.0						117.04	
1.6628		61.0	65.0						118.31	
1.6594		58.31	65.75						121.34	
1.6623		57.19	63.0						122.47	
1.6612		56.62	59.5						121.71	
1.6532		55.12	59.75						123.85	
1.6657		57.19	61.25						122.26	
1.6755		57.87	64.06						119.83	
1.6758		61.25	66.62						120.95	
1.6733		61.81	65.31						121.33	
1.6681		61.5	66.56						118.73	
1.6566		61.94	70.56						120.23	
1.6533		65.0	73.62						120.99	
1.6616		64.81	72.38						120.62	
1.6618		65.62	71.5						121.93	
1.6612									122.51	
1.6561		65.44	74.75						123.03	
1.6513		63.44	69.62						122.92	
1.6529		62.13	68.25						121.93	
