Date	GS
1999-05-04	70.38
1999-05-05	69.13
1999-05-06	67.94
1999-05-07	74.13
1999-05-10	70.69
1999-05-11	70.63
1999-05-12	73.5
1999-05-13	74.25
1999-05-14	70.19
1999-05-17	68.63
1999-05-18	68.63
1999-05-19	69.31
1999-05-20	68.38
1999-05-21	67.5
1999-05-24	65.31
1999-05-25	64.5
1999-05-26	66.06
1999-05-27	67.75
1999-05-28	67.94
1999-06-01	64.19
1999-06-02	63.25
1999-06-03	63.63
1999-06-04	65.38
1999-06-07	65.94
1999-06-08	63.75
1999-06-09	65.5
1999-06-10	63.38
1999-06-11	62.94
1999-06-14	61.25
1999-06-15	62.75
1999-06-16	65.25
1999-06-17	65.0
1999-06-18	64.81
1999-06-21	69.5
1999-06-22	68.0
1999-06-23	65.0
1999-06-24	65.06
1999-06-25	66.25
1999-06-28	66.56
1999-06-29	67.75
1999-06-30	72.25
1999-07-01	70.81
1999-07-02	70.94
1999-07-06	70.5
1999-07-07	68.0
1999-07-08	67.25
1999-07-09	67.25
1999-07-12	68.38
1999-07-13	67.88
1999-07-14	67.63
1999-07-15	67.94
1999-07-16	68.06
1999-07-19	69.44
1999-07-20	68.13
1999-07-21	67.88
1999-07-22	66.5
1999-07-23	64.06
1999-07-26	63.25
1999-07-27	65.5
1999-07-28	66.06
1999-07-29	65.0
1999-07-30	64.31
1999-08-02	62.81
1999-08-03	60.81
1999-08-04	60.0
1999-08-05	59.25
1999-08-06	56.25
1999-08-09	55.81
1999-08-10	57.0
1999-08-11	61.5
1999-08-12	60.69
1999-08-13	63.13
1999-08-16	62.88
1999-08-17	63.0
1999-08-18	62.31
1999-08-19	61.69
1999-08-20	62.3125
1999-08-23	63.63
1999-08-24	63.44
1999-08-25	64.0
1999-08-26	62.75
1999-08-27	61.56
1999-08-30	59.31
1999-08-31	59.81
1999-09-01	60.31
1999-09-02	59.25
1999-09-03	63.13
1999-09-07	62.5
1999-09-08	62.56
1999-09-09	61.75
1999-09-10	63.09
1999-09-13	62.13
1999-09-14	59.38
1999-09-15	58.31
1999-09-16	57.69
1999-09-17	60.06
1999-09-20	60.75
1999-09-21	59.13
1999-09-22	61.31
1999-09-23	60.81
1999-09-24	61.94
1999-09-27	61.56
1999-09-28	62.25
1999-09-29	61.44
1999-09-30	61.0
1999-10-01	59.19
1999-10-04	61.69
1999-10-05	62.25
1999-10-06	64.0
1999-10-07	63.19
1999-10-08	63.94
1999-10-11	63.69
1999-10-12	62.94
1999-10-13	61.0
1999-10-14	62.0
1999-10-15	59.75
1999-10-18	59.25
1999-10-19	60.38
1999-10-20	61.75
1999-10-21	61.81
1999-10-22	65.5
1999-10-25	64.0
1999-10-26	61.81
1999-10-27	64.38
1999-10-28	72.0
1999-10-29	71.0
1999-11-01	69.38
1999-11-02	69.75
1999-11-03	68.75
1999-11-04	70.13
1999-11-05	73.69
1999-11-08	73.0
1999-11-09	71.88
1999-11-10	71.94
1999-11-11	73.31
1999-11-12	79.75
1999-11-15	78.0
1999-11-16	82.81
1999-11-17	79.56
1999-11-18	80.19
1999-11-19	79.94
1999-11-22	79.69
1999-11-23	77.75
1999-11-24	77.13
1999-11-26	77.31
1999-11-29	74.5
1999-11-30	75.13
1999-12-01	76.19
1999-12-02	77.5
1999-12-03	79.06
1999-12-06	77.0
1999-12-07	80.94
1999-12-08	80.0
1999-12-09	80.0
1999-12-10	82.0
1999-12-13	82.06
1999-12-14	78.75
1999-12-15	79.44
1999-12-16	78.56
1999-12-17	80.19
1999-12-20	81.88
1999-12-21	80.94
1999-12-22	79.69
1999-12-23	81.0
1999-12-27	82.06
1999-12-28	85.0
1999-12-29	88.0
1999-12-30	92.19
1999-12-31	94.19
2000-01-03	88.31
2000-01-04	82.75
2000-01-05	79.69
2000-01-06	82.25
2000-01-07	82.56
2000-01-10	84.38
2000-01-11	84.81
2000-01-12	84.38
2000-01-13	84.5
2000-01-14	85.63
2000-01-18	86.88
2000-01-19	87.56
2000-01-20	85.94
2000-01-21	85.69
2000-01-24	81.75
2000-01-25	83.88
