date	sentiment	text	title
Wed, 24 Jul 2019 09:35:00 -0400	Positive	Now that we've seen second-quarter earnings from the big banks, our contributors think these three are worth a closer look.	3 Top Bank Stocks to Buy Right Now
Mon, 22 Jul 2019 18:07:27 -0400	Neutral	"A Goldman Sachs bond deal went bust, and a group of creditors have now resorted to hiring private detectives to dig out details of how the deal came together. Bloomberg's Sridhar Natarajan reports on ""Bloomberg Markets: The Close."""	Why Private Detectives Are Eyeing a Goldman Bond Deal Gone Bust
Mon, 22 Jul 2019 14:31:07 -0400	Positive	"The ""Halftime Report"" traders debate Goldman Sachs' bet on the chip stocks in the ""call of the day."	Goldman upgrades these chip stocks
Fri, 19 Jul 2019 13:15:02 -0400	Negative	EVP, Global Head of HCM of Goldman Sachs Group Inc (30-Year Financial, Insider Trades) Dane E Holmes (insider trades) sold 3,165 shares of GS on 07/18/2019 at an average price of $212.15 a share.	Goldman Sachs Group Inc (GS) EVP, Global Head of HCM Dane E Holmes Sold $671,455 of Shares
Fri, 19 Jul 2019 10:10:21 -0400	Positive	Goldman Sachs BDC (GSBD) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.	Can Goldman Sachs BDC (GSBD) Keep the Earnings Surprise Streak Alive?
Thu, 18 Jul 2019 16:57:47 -0400	Negative	Booming stock markets around the globe helped Goldman Sachs Group Inc  offset declines in other businesses last quarter, but those gains may not be sustainable, analysts said.	Goldman Sachs' equities-backed earnings results may face pressure
Thu, 18 Jul 2019 14:05:03 -0400	Positive	"The ""Halftime Report"" traders give their top stocks to watch for the second half."	Final Trades: Abbott Labs, Goldman Sachs, Disney, United Airlines & Silver
Thu, 18 Jul 2019 10:49:37 -0400	Positive	Don't fret! Value stocks can be had in today's hot market.	3 Great Value Stocks to Buy This July
Thu, 18 Jul 2019 07:08:11 -0400	Negative	Booming stock markets around the globe helped Goldman Sachs Group Inc  offset declines in other businesses last quarter, but those gains may not be sustainable, analysts said.	Goldman Sachs' equities-backed earnings results may pressure
Wed, 17 Jul 2019 23:59:49 -0400	Positive	GS released Q2 results July 16th and has recently announced an increase in its quarterly dividend from $0.85 to $1.25 and a $7B share repurchase program beginning Q3 2019.	The Goldman Sachs Group, Inc. - Friend Of The Long-Term Investor
Wed, 17 Jul 2019 19:29:33 -0400	Positive	Jim Cramer explains why the bank stocks are worth buying, despite a potential interest rate cut.	Cramer on why JP Morgan, Citi, Goldman Sachs and Bank of America are buys
Wed, 17 Jul 2019 06:26:06 -0400	Positive	The investment banking firm and Dow component extended its streak of earnings beats to nine consecutive quarters.	Goldman Sachs Stock Sets 2019 High on Positive Earnings
Tue, 16 Jul 2019 16:30:06 -0400	Neutral	The Goldman Sachs Group, Inc. (GS) CEO David Solomon on Q2 2019 Results - Earnings Call Transcript	The Goldman Sachs Group, Inc. (GS) CEO David Solomon on Q2 2019 Results - Earnings Call Transcript
Tue, 16 Jul 2019 11:48:00 -0400	Neutral	Goldman Sachs' transition from the bank of choice for millionaires to a more inclusive, consumer friendly shop isn't cheap.	Goldman's Main Street transformation including the upcoming Apple card is costing it big money
Tue, 16 Jul 2019 11:38:43 -0400	Positive	Markets remained close to unchanged as investors played a waiting game.	Stock Market News: JPMorgan and Goldman Sachs Deliver Solid Bank Earnings
Tue, 16 Jul 2019 10:27:49 -0400	Positive	Goldman Sachs reported a better-than-expected quarterly profit on Tuesday as the Wall Street investment bank benefited from higher equity trading and an increase in lending to its wealthy clients and companies. The bank, like its rivals, is facing several challenges in growing its revenue in the face of rising geopolitical uncertainties and concerns about the.	Goldman Sachs profits see boost from equity training and lending
Tue, 16 Jul 2019 10:09:00 -0400	Positive	Retail Sales outperformed, Imports & Exports were lower, and JPM, WFC, GS and JNJ outperformed earnings expectations.	Retail Sales Up, Import Prices Down, Q2 Earnings Solid
Tue, 16 Jul 2019 10:06:17 -0400	Positive	Big banks continue to grow their profits, but the initial market reaction to earnings from JPMorgan Chase & Co (NYSE: JPM) and Goldman Sachs Group Inc (NYSE: GS) looks mixed early Tuesday.	Mostly Strong Results For Big Banks, And J&J Another Solid Earnings Performer
Tue, 16 Jul 2019 09:54:40 -0400	Positive	Shares of Goldman Sachs Group Inc. GS, +1.81% surged 2.3% in morning trading after big second-quarter profit and revenue beats, with the price gain enough to keep the Dow Jones Industrial Average DJIA, +0.00% in positive territory.	Goldman's stock rally helps keep Dow positive
Tue, 16 Jul 2019 09:29:37 -0400	Positive	After a couple of so-so bank earnings reports, Goldman Sachs gives investors something to celebrate.	Goldman Sachs: An Early Winner of Earnings Season?
Tue, 16 Jul 2019 09:23:00 -0400	Positive	Goldman Sachs' (GS) Q2 results reflect solid investing and lending revenues and expense management, partly muted by underwriting business and fixed income trading activities underperformance.	Goldman (GS) Q2 Earnings Beat, FICC Revenues Disappoint
Tue, 16 Jul 2019 08:55:03 -0400	Positive	Goldman (GS) delivered earnings and revenue surprises of 22.83% and 9.24%, respectively, for the quarter ended June 2019. Do the numbers hold clues to what lies ahead for the stock?	Goldman Sachs (GS) Tops Q2 Earnings and Revenue Estimates
Tue, 16 Jul 2019 08:35:43 -0400	Neutral	Goldman Sachs Group Inc. (NYSE: GS) reported its most recent quarterly results before the markets opened on Tuesday.	Despite Earnings Beat, Are There Growth Concerns at Goldman Sachs?
